127.0.0.1, 2015-11-14 12:34:34, GET, /addrest_demo/default/index, HTTP/1.1, 200, 0.052061
127.0.0.1, 2015-11-14 12:41:20, GET, /addrest_demo/default/index, HTTP/1.1, 200, 0.035175
127.0.0.1, 2015-11-14 12:41:24, GET, /addrest_demo/default/<%=basePath%>, HTTP/1.1, 400, 0.000249
127.0.0.1, 2015-11-15 00:00:05, GET, /addrest_demo/default/index, HTTP/1.1, 500, 0.083342
127.0.0.1, 2015-11-15 00:00:06, GET, /admin/default/ticket/addrest_demo/127.0.0.1.2015-11-15.00-00-05.a0f2304b-f374-4586-a8fe-e8ec763a72f7, HTTP/1.1, 303, 0.029535
127.0.0.1, 2015-11-15 00:00:07, GET, /admin/default/index, HTTP/1.1, 200, 0.049921
127.0.0.1, 2015-11-15 00:00:09, POST, /admin/default/index, HTTP/1.1, 303, 0.043335
127.0.0.1, 2015-11-15 00:00:10, GET, /admin/default/ticket/addrest_demo/127.0.0.1.2015-11-15.00-00-05.a0f2304b-f374-4586-a8fe-e8ec763a72f7, HTTP/1.1, 200, 0.055967
127.0.0.1, 2015-11-15 00:11:58, GET, /addrest_demo/default/index, HTTP/1.1, 200, 0.021213
127.0.0.1, 2015-11-15 00:12:03, GET, /addrest_demo/default/user/login, HTTP/1.1, 200, 0.027370
127.0.0.1, 2015-11-15 00:12:03, GET, /addrest_demo/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002071
127.0.0.1, 2015-11-15 00:12:03, GET, /addrest_demo/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002866
127.0.0.1, 2015-11-15 00:12:03, GET, /addrest_demo/static/js/jquery.js, HTTP/1.1, 200, 0.005609
127.0.0.1, 2015-11-15 00:12:03, GET, /addrest_demo/static/js/calendar.js, HTTP/1.1, 200, 0.003897
127.0.0.1, 2015-11-15 00:12:03, GET, /addrest_demo/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.006552
127.0.0.1, 2015-11-15 00:12:03, GET, /addrest_demo/static/css/calendar.css, HTTP/1.1, 200, 0.002035
127.0.0.1, 2015-11-15 00:12:03, GET, /addrest_demo/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000940
127.0.0.1, 2015-11-15 00:12:03, GET, /addrest_demo/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.016018
127.0.0.1, 2015-11-15 00:12:03, GET, /addrest_demo/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.005993
127.0.0.1, 2015-11-15 00:12:03, GET, /addrest_demo/static/js/share.js, HTTP/1.1, 200, 0.009637
127.0.0.1, 2015-11-15 00:12:03, GET, /addrest_demo/static/js/web2py.js, HTTP/1.1, 304, 0.000522
127.0.0.1, 2015-11-15 00:12:03, GET, /addrest_demo/static/images/gplus-32.png, HTTP/1.1, 200, 0.001416
127.0.0.1, 2015-11-15 00:12:03, GET, /addrest_demo/static/images/facebook.png, HTTP/1.1, 200, 0.002851
127.0.0.1, 2015-11-15 00:12:03, GET, /addrest_demo/static/images/twitter.png, HTTP/1.1, 200, 0.001526
